GEOID,total_pop,total_race,white,black,asian,hispanic,total_edu,bachelors,graduate,total_poverty,poverty_rate,med_income,gini,labor_force,unemployed,med_rent,med_home_value,poverty_pct,college_pct,white_pct,black_pct,asian_pct,hispanic_pct,unemployment_rate
53033000101,3399,3399,1557,519,655,293,2600,972,287,3371,443,65804,0.4943,2289,57,1770,676800,0.13141501038267575,0.48423076923076924,0.4580759046778464,0.1526919682259488,0.19270373639305677,0.08620182406590174,0.02490170380078637
53033000102,4382,4382,3294,155,492,328,3659,1092,690,4382,664,84680,0.5537,2583,30,1522,932100,0.1515289821999087,0.4870183110139382,0.7517115472387038,0.03537197626654496,0.11227749885896851,0.07485166590597901,0.011614401858304297
53033000201,4691,4691,2747,560,684,538,3698,1036,557,4657,752,90083,0.5228,2964,75,1787,758200,0.16147734593085677,0.43077339102217416,0.5855894265615007,0.11937753144318909,0.14581112769132382,0.11468769985077809,0.025303643724696356
53033000202,4425,4425,2278,433,754,583,3283,1094,530,4425,148,118699,0.3764,2550,158,1610,756400,0.03344632768361582,0.4946695095948827,0.5148022598870057,0.09785310734463276,0.1703954802259887,0.13175141242937854,0.06196078431372549
53033000300,2964,2964,1886,60,640,107,1930,676,438,2956,241,118638,0.4043,1826,81,2193,639500,0.08152909336941813,0.5772020725388601,0.636302294197031,0.020242914979757085,0.21592442645074225,0.03609986504723347,0.0443592552026287
53033000402,5421,5421,4149,111,435,447,4304,1341,535,5184,208,87061,0.4771,3026,104,1727,788800,0.040123456790123455,0.4358736059479554,0.7653569452130603,0.020475926950747094,0.08024349750968456,0.08245711123408965,0.034368803701255786
53033000403,3298,3298,2290,107,439,168,2688,665,436,3252,579,50438,0.5648,1785,285,1496,581800,0.17804428044280443,0.4095982142857143,0.6943602183141298,0.03244390539721043,0.1331109763493026,0.050939963614311703,0.15966386554621848
53033000404,3847,3847,1435,1280,448,455,2987,730,176,3847,934,44214,0.4384,2299,82,1610,516700,0.2427865869508708,0.30331436223635755,0.3730179360540681,0.33272680010397715,0.116454380036392,0.11827397972446062,0.03566768160069596
53033000500,3486,3486,2739,139,252,54,2495,1091,396,3472,286,176719,0.4708,1549,8,3000,1140300,0.08237327188940093,0.5959919839679358,0.7857142857142857,0.039873780837636257,0.07228915662650602,0.01549053356282272,0.005164622336991607
53033000601,4852,4852,2978,615,521,247,3505,1121,500,4844,460,94483,0.4018,3007,204,1907,814100,0.09496284062758051,0.4624821683309558,0.613767518549052,0.12675185490519372,0.10737840065952185,0.05090684253915911,0.06784170269371466
53033000602,3700,3700,1882,268,496,576,2758,664,352,3700,171,96795,0.3766,2306,87,1870,649200,0.046216216216216216,0.36838288614938364,0.5086486486486487,0.07243243243243243,0.13405405405405404,0.15567567567567567,0.03772766695576756
53033000700,5508,5508,3406,327,984,494,4083,1197,664,5508,419,88899,0.4946,3681,256,1787,768000,0.0760711692084241,0.45579230957629197,0.6183732752360204,0.0593681917211329,0.1786492374727669,0.0896877269426289,0.06954631893507199
53033000800,2636,2636,2198,20,190,113,1984,944,384,2585,117,130313,0.3751,1577,56,2173,820200,0.04526112185686654,0.6693548387096774,0.8338391502276176,0.007587253414264037,0.07207890743550835,0.04286798179059181,0.03551046290424857
53033000900,2092,2092,1516,87,312,53,1715,596,445,2073,95,132188,0.45,1031,67,1815,1204300,0.04582730342498794,0.606997084548105,0.7246653919694073,0.04158699808795411,0.1491395793499044,0.025334608030592735,0.06498545101842872
53033001000,2055,2055,1347,161,181,95,1413,423,312,2055,279,118125,0.4604,1084,71,1858,847700,0.13576642335766423,0.5201698513800425,0.6554744525547446,0.07834549878345498,0.08807785888077858,0.046228710462287104,0.06549815498154982
53033001100,2549,2549,1698,11,524,165,1955,830,526,2537,95,136900,0.351,1546,42,2320,823700,0.037445802128498226,0.6936061381074169,0.6661435857198902,0.004315417810906237,0.20557081208316988,0.06473126716359356,0.027166882276843468
53033001201,4180,4180,2674,366,431,427,3412,1026,242,4165,1056,44215,0.5647,2165,51,1616,625000,0.25354141656662665,0.3716295427901524,0.6397129186602871,0.08755980861244018,0.10311004784688996,0.10215311004784688,0.023556581986143188
53033001202,3557,3557,1724,554,564,373,2393,610,530,3557,447,76556,0.4992,2370,228,1820,713900,0.12566769749789147,0.4763894692854158,0.48467809952206914,0.15574922687658138,0.15856058476244025,0.10486364914253585,0.09620253164556962
53033001300,4882,4882,2540,334,844,693,4002,1332,450,4806,680,83816,0.4095,3366,162,1485,705800,0.14148980441115272,0.4452773613193403,0.5202785743547726,0.06841458418680868,0.1728799672265465,0.14195002048340843,0.0481283422459893
53033001400,5201,5201,3999,15,328,319,4025,1517,817,5192,496,125071,0.4293,3603,170,1829,780000,0.09553158705701079,0.5798757763975155,0.7688905979619304,0.0028840607575466256,0.06306479523168622,0.06133435877715824,0.04718290313627533
53033001500,2679,2679,2153,59,137,20,2130,851,424,2679,155,187143,0.4567,1568,21,1938,1126000,0.05785740948114968,0.5985915492957746,0.8036580813736469,0.02202314296379246,0.0511384845091452,0.007465472191116088,0.013392857142857142
53033001600,4785,4785,3729,25,517,194,3418,1394,727,4779,147,219583,0.3817,2658,86,2262,1200300,0.030759573132454487,0.6205383265067291,0.7793103448275862,0.00522466039707419,0.10804597701149425,0.04054336468129571,0.03235515425131678
53033001701,4109,4109,2257,297,550,544,3278,1532,312,4109,176,93048,0.3948,3114,76,1960,547800,0.04283280603553176,0.5625381330079317,0.5492820637624726,0.07228036018495984,0.13385251886103675,0.1323923095643709,0.024405908798972382
53033001702,5441,5441,3637,222,526,677,4459,1632,713,5307,244,121440,0.3866,3675,107,1785,812900,0.04597701149425287,0.5259026687598116,0.6684433008638118,0.04080132328616063,0.09667340562396619,0.1244256570483367,0.0291156462585034
